textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 09 May 2007,To: 09 May 2007,Burma,FY 2007,30,Christian,30,159
From: 09 May 2007,To: 09 May 2007,Congo,FY 2007,4,Catholic,3,159
From: 09 May 2007,To: 09 May 2007,Congo,FY 2007,4,Protestant,1,159
From: 09 May 2007,To: 09 May 2007,Ethiopia,FY 2007,4,Christian,1,159
From: 09 May 2007,To: 09 May 2007,Ethiopia,FY 2007,4,Moslem,1,159
From: 09 May 2007,To: 09 May 2007,Ethiopia,FY 2007,4,Orthodox,1,159
From: 09 May 2007,To: 09 May 2007,Ethiopia,FY 2007,4,Protestant,1,159
From: 09 May 2007,To: 09 May 2007,Ghana,FY 2007,1,Christian,1,159
From: 09 May 2007,To: 09 May 2007,Liberia,FY 2007,33,Christian,17,159
From: 09 May 2007,To: 09 May 2007,Liberia,FY 2007,33,Lutheran,6,159
From: 09 May 2007,To: 09 May 2007,Liberia,FY 2007,33,Pentecostalist,10,159
From: 09 May 2007,To: 09 May 2007,Rwanda,FY 2007,4,Protestant,4,159
From: 09 May 2007,To: 09 May 2007,Somalia,FY 2007,52,Moslem,52,159
From: 09 May 2007,To: 09 May 2007,Sudan,FY 2007,6,Christian,5,159
From: 09 May 2007,To: 09 May 2007,Sudan,FY 2007,6,Moslem,1,159
From: 09 May 2007,To: 09 May 2007,Uganda,FY 2007,5,Christian,5,159
From: 09 May 2007,To: 09 May 2007,Vietnam,FY 2007,20,Buddhist,6,159
From: 09 May 2007,To: 09 May 2007,Vietnam,FY 2007,20,Catholic,5,159
From: 09 May 2007,To: 09 May 2007,Vietnam,FY 2007,20,Hoa Hao,5,159
From: 09 May 2007,To: 09 May 2007,Vietnam,FY 2007,20,No Religion,4,159

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 09 May 2007,To: 09 May 2007,Buddhist,FY 2007,6,Vietnam,6,159
From: 09 May 2007,To: 09 May 2007,Catholic,FY 2007,8,Congo,3,159
From: 09 May 2007,To: 09 May 2007,Catholic,FY 2007,8,Vietnam,5,159
From: 09 May 2007,To: 09 May 2007,Christian,FY 2007,59,Burma,30,159
From: 09 May 2007,To: 09 May 2007,Christian,FY 2007,59,Ethiopia,1,159
From: 09 May 2007,To: 09 May 2007,Christian,FY 2007,59,Ghana,1,159
From: 09 May 2007,To: 09 May 2007,Christian,FY 2007,59,Liberia,17,159
From: 09 May 2007,To: 09 May 2007,Christian,FY 2007,59,Sudan,5,159
From: 09 May 2007,To: 09 May 2007,Christian,FY 2007,59,Uganda,5,159
From: 09 May 2007,To: 09 May 2007,Hoa Hao,FY 2007,5,Vietnam,5,159
From: 09 May 2007,To: 09 May 2007,Lutheran,FY 2007,6,Liberia,6,159
From: 09 May 2007,To: 09 May 2007,Moslem,FY 2007,54,Ethiopia,1,159
From: 09 May 2007,To: 09 May 2007,Moslem,FY 2007,54,Somalia,52,159
From: 09 May 2007,To: 09 May 2007,Moslem,FY 2007,54,Sudan,1,159
From: 09 May 2007,To: 09 May 2007,No Religion,FY 2007,4,Vietnam,4,159
From: 09 May 2007,To: 09 May 2007,Orthodox,FY 2007,1,Ethiopia,1,159
From: 09 May 2007,To: 09 May 2007,Pentecostalist,FY 2007,10,Liberia,10,159
From: 09 May 2007,To: 09 May 2007,Protestant,FY 2007,6,Congo,1,159
From: 09 May 2007,To: 09 May 2007,Protestant,FY 2007,6,Ethiopia,1,159
From: 09 May 2007,To: 09 May 2007,Protestant,FY 2007,6,Rwanda,4,159

